Result;Type;Category;Position X;Position Y
62;0;1;1.273578;1.160806
62;0;0;8.253225;1.163728
62;0;1;6.858808;1.796676
62;0;0;3.205548;2.325999
62;0;0;2.600264;2.241563
62;0;0;5.824705;1.70565
62;0;2;4.21512;0.997173
63;1;1;5.925737;6.579493
63;1;2;2.28521;8.447002
63;1;1;7.616226;6.868495
63;1;1;1.135139;7.556823
63;1;1;4.288506;7.688961
63;0;0;0.837703;2.486586
63;0;0;7.554636;1.338594
63;0;1;3.250299;2.092298
63;0;2;3.040606;0.5924163
63;0;2;0.9189696;0.745322
63;0;1;6.00786;0.7389849
63;0;1;2.873797;2.226266
64;1;2;7.747441;6.938636
64;1;1;5.648539;7.480408
64;1;1;1.423497;8.084116
64;1;1;3.696855;6.3836
64;1;1;6.589733;6.520551
64;0;2;7.231213;1.145483
64;0;0;2.796583;1.080014
64;0;0;2.245653;1.457786
64;0;2;6.705772;0.6225917
64;0;2;2.987001;1.662377
64;0;1;8.528399;1.884981
65;1;2;7.515374;7.833843
65;1;1;2.577792;6.397227
65;1;1;4.371464;6.785472
65;1;2;5.687886;7.173386
65;1;1;2.648998;7.930163
65;0;1;4.220379;2.384911
65;0;0;7.529463;1.801897
65;0;0;3.785567;0.6778803
65;0;0;3.279674;2.15677
65;0;0;2.944534;2.312045
65;0;0;7.936374;0.7909572
65;0;1;0.9964333;1.478613
65;0;0;5.457417;1.362275
65;0;1;8.190046;0.5029734
66;1;2;5.984365;6.923921
66;1;2;8.070845;7.803692
66;1;2;4.885632;7.515934
66;1;1;1.338766;9.305664
66;0;0;3.291985;2.302175
66;0;0;2.60263;2.406468
66;0;1;1.39188;1.360212
66;0;2;2.705777;0.8558347
66;0;2;5.087233;2.145869
66;0;0;7.806384;2.442357
66;0;0;2.616833;1.310135
67;1;2;5.481074;7.181142
67;1;1;3.784686;6.543252
67;1;2;7.25222;8.552136
67;1;1;7.373726;7.70194
67;1;1;0.9982839;8.316748
67;0;0;5.899544;1.601239
67;0;2;2.147529;2.108632
67;0;2;7.251029;1.582122
67;0;0;3.505413;1.425221
67;0;1;7.940591;1.955824
67;0;0;3.489346;0.633656
67;0;0;3.869081;1.629844
68;1;1;2.219928;7.311549
68;1;1;4.014964;6.406173
68;1;2;7.493464;8.503878
68;1;1;2.01579;6.7264
68;1;2;7.672521;7.440947
68;0;2;5.312751;0.9225049
68;0;0;8.187503;1.998844
68;0;0;5.812403;1.618464
68;0;1;5.10666;1.871556
68;0;2;1.633972;1.493306
68;0;0;4.489135;0.9018948
68;0;0;7.558284;1.440625
69;1;2;7.11772;7.976665
69;1;2;2.521766;7.94204
69;1;1;8.418597;7.591251
69;1;2;5.23449;6.893977
69;0;1;4.695232;0.8941457
69;0;2;4.574592;1.978777
69;0;0;5.204222;0.6718337
69;0;1;4.01645;1.851063
69;0;2;2.32783;1.777713
69;0;1;1.765774;1.606669
69;0;0;4.162104;0.8420776
70;1;2;6.220479;7.123763
70;1;2;1.126489;9.212181
70;1;1;1.992257;6.378556
70;1;2;8.38802;6.755159
70;0;1;8.636391;2.061721
70;0;0;4.335797;0.5101286
70;0;0;3.621227;0.9089844
70;0;1;1.72549;2.433465
70;0;1;5.128302;2.415675
70;0;0;3.162876;0.9659857
70;0;2;4.993469;1.537083
70;0;0;4.666643;0.5581541
71;1;2;4.111269;6.313373
71;1;1;7.338854;7.510063
71;1;2;6.085534;6.442192
71;1;1;1.486361;8.463799
71;1;1;1.121387;6.907369
71;0;1;2.637747;0.8759654
71;0;0;5.810944;0.908276
71;0;2;8.434857;2.382409
71;0;1;5.079455;2.201242
71;0;0;3.735754;0.446808
71;0;0;8.688104;0.7049618
71;0;0;7.80161;1.937013
71;0;0;4.647297;2.361963
72;1;2;6.007602;7.591425
72;1;2;1.387533;6.405137
72;1;2;8.410689;8.74507
72;1;2;2.68831;8.343202
72;0;0;7.404597;1.852615
72;0;1;5.723352;0.65485
72;0;0;6.017628;1.580848
72;0;0;4.282727;2.351531
72;0;1;4.51649;0.8021888
72;0;0;2.074575;0.574332
72;0;1;1.316168;0.6322067
72;0;0;5.395439;2.389277
72;0;0;2.53095;0.476216
73;1;1;2.237727;8.090245
73;1;1;7.446805;6.738937
73;1;2;5.260088;6.397564
73;1;1;8.40143;6.437917
73;1;1;6.31252;7.951765
